2012-06-07 22:20:13 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:22:21 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:24:18 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:26:28 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:28:26 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:30:36 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:32:32 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:34:42 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:36:42 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-08 09:44:00 - [id=0] Application NewsCasterD v1.0.38  Restarted (192.168.26.73/Ethernet LAN), Startup sequence begun...
2012-06-08 09:44:17 - [id=0] Downloaded XMLNews, 566839 bytes in 10.6 seconds
2012-06-08 09:48:01 - [id=0] STATUS: Downloaded 12 bytes of new media content, 0/2 files
2012-06-08 09:49:14 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 09:51:05 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 09:53:18 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-08 09:55:18 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-08 09:57:21 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 09:59:19 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:01:32 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-08 10:03:28 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:05:41 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:07:31 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:09:42 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:11:39 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:13:49 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:15:47 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:17:57 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:19:53 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:22:02 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:24:00 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:26:20 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-08 10:28:07 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:30:16 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:32:14 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:34:24 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-08 10:36:31 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:38:32 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:40:26 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:42:37 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-08 10:44:34 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:44:46 - [id=0] Downloaded XMLNews, 470749 bytes in 6.3 seconds
2012-06-08 10:46:43 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:48:41 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:50:51 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-08 10:52:50 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:55:00 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:56:57 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 10:59:07 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-08 11:01:07 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:03:12 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:05:12 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:07:19 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:09:19 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:11:32 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:13:23 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:15:34 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:17:29 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:19:39 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:21:37 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:23:57 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
